danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.46,0.878,0.0464,0.0817,5.58e-05,0.122,0.533,96.493,7
0.641,0.582,0.0483,0.127,0.00632,0.354,0.725,181.039,7
0.504,0.705,0.0665,0.00121,4.12e-06,0.453,0.567,108.965,7
0.705,0.735,0.0931,0.028,0.0783,0.112,0.448,132.627,7
0.349,0.866,0.112,0.0361,0.0406,0.216,0.488,167.951,7
0.515,0.502,0.058,0.253,0.883,0.345,0.374,143.937,7
0.434,0.653,0.0324,0.693,0.0421,0.177,0.625,105.09,7
0.531,0.676,0.0299,0.0156,0.00287,0.0988,0.544,136.759,7
0.588,0.488,0.03,0.325,0.0139,0.18,0.328,104.717,7
0.646,0.719,0.0685,0.159,0.000432,0.0758,0.71,160.008,7
0.604,0.406,0.0306,0.543,0.000545,0.0932,0.474,139.897,7
0.436,0.288,0.0315,0.746,0.00208,0.098,0.268,117.482,7
0.638,0.709,0.039,0.00803,1.59e-06,0.335,0.913,143.984,7
0.365,0.466,0.0418,0.161,6.68e-06,0.106,0.487,95.163,7
0.511,0.766,0.0473,0.03,0.00752,0.221,0.632,79.963,7
0.757,0.661,0.0291,0.00191,5.77e-05,0.141,0.617,111.64,7
0.594,0.814,0.0391,0.00992,0.000447,0.577,0.297,152.936,7
0.557,0.586,0.0268,0.019,0.187,0.156,0.569,104.636,7
0.647,0.465,0.0245,0.258,0.149,0.111,0.243,94.035,7
0.528,0.621,0.0319,0.00719,0.00134,0.0947,0.541,141.329,7
0.393,0.779,0.0417,0.0286,0.395,0.147,0.17,109.605,7
0.427,0.576,0.0288,0.262,0.000482,0.241,0.401,151.937,7
0.279,0.626,0.0342,0.077,0.00394,0.118,0.342,77.513,7
0.44,0.719,0.0445,0.0217,5.09e-06,0.0663,0.523,111.398,7
0.606,0.679,0.0321,0.0151,0.000433,0.0962,0.707,122.016,7
0.418,0.583,0.0257,0.329,0.769,0.238,0.327,79.594,7
0.525,0.776,0.0477,0.0175,0.000247,0.573,0.263,95.004,7
0.443,0.868,0.0565,0.149,0.043,0.651,0.622,157.948,7
0.536,0.792,0.0305,0.305,0.69,0.105,0.706,120.661,7
0.478,0.666,0.0566,0.0428,0.725,0.336,0.718,149.974,7
0.518,0.689,0.0409,0.0151,0.000522,0.107,0.35,120.115,7
0.274,0.739,0.0383,0.0112,0.00549,0.393,0.368,93.22,7
0.475,0.762,0.0391,0.0018,0.0493,0.285,0.619,113.682,7
0.445,0.847,0.0403,0.00888,0.0124,0.176,0.367,92.829,7
0.439,0.787,0.054,0.00209,0.0862,0.903,0.532,96.236,7
0.557,0.692,0.0318,0.0507,0.792,0.103,0.685,91.012,7
0.265,0.687,0.052,0.0893,0.673,0.0981,0.3,105.457,7
0.504,0.352,0.0253,0.177,0.152,0.228,0.348,78.171,7
0.395,0.824,0.0317,0.0516,0.395,0.206,0.514,83.422,7
0.649,0.734,0.0529,0.345,0.00134,0.318,0.693,114.651,7
0.641,0.622,0.0281,0.149,0.00224,0.121,0.793,91.206,7
0.501,0.498,0.0297,0.00411,0.000147,0.154,0.341,76.679,7
0.426,0.767,0.0365,0.297,0.0506,0.469,0.57,176.627,7
0.431,0.573,0.0316,0.0221,1.74e-05,0.173,0.441,79.764,7
0.5,0.672,0.0258,0.00213,0.0135,0.176,0.392,107.813,7
0.679,0.875,0.0567,0.0126,0.00167,0.118,0.763,126.966,7
0.738,0.709,0.0291,0.164,0.117,0.0886,0.962,128.093,7
0.643,0.964,0.0599,0.056,0.000173,0.247,0.733,113.022,7
0.69,0.735,0.0291,0.061,4.55e-06,0.0645,0.865,125.971,7
0.599,0.849,0.0336,0.0376,1.65e-05,0.124,0.497,127.993,7
0.62,0.911,0.0432,0.00702,0.000357,0.27,0.733,110.029,7
0.7,0.952,0.0749,0.0506,0.00703,0.291,0.718,120.022,7
0.632,0.887,0.0472,0.00122,0.0444,0.271,0.53,123.964,7
0.694,0.46,0.0296,0.181,2.28e-06,0.051,0.315,137.982,7
0.6,0.55,0.0334,0.0837,0.0,0.171,0.492,178.058,7
0.652,0.825,0.055,0.07,7.39e-05,0.159,0.765,127.97,7
0.659,0.921,0.038,0.494,0.117,0.0835,0.888,114.988,7
0.804,0.773,0.105,0.000778,0.0335,0.0899,0.555,127.008,7
0.646,0.832,0.0938,0.00861,0.281,0.312,0.594,128.056,7
0.688,0.769,0.0376,0.00148,1.08e-05,0.262,0.505,99.969,7
0.638,0.738,0.0292,0.117,0.000384,0.689,0.657,97.021,7
0.5,0.859,0.0506,0.00126,0.00279,0.329,0.269,121.989,7
0.705,0.887,0.0318,0.0323,0.000578,0.227,0.873,115.97,7
0.472,0.716,0.0502,0.00191,0.892,0.405,0.37,125.918,7
0.615,0.931,0.0634,0.0039,0.00191,0.303,0.55,141.949,7
0.597,0.733,0.11,0.00457,0.00191,0.501,0.866,87.479,7
0.258,0.7,0.0366,0.524,0.954,0.145,0.173,170.265,7
0.437,0.718,0.0742,0.000739,0.0529,0.0965,0.241,123.77,7
0.483,0.721,0.0365,0.000152,0.488,0.0644,0.232,165.917,7
0.599,0.816,0.0514,0.00702,2.8e-06,0.508,0.595,126.02,7
0.534,0.955,0.0524,0.0219,0.00573,0.322,0.425,130.09,7
0.489,0.83,0.0332,0.211,0.000122,0.0962,0.364,84.946,7
0.286,0.892,0.0731,0.000561,0.00016,0.157,0.374,172.016,7
0.213,0.122,0.0308,0.904,0.516,0.256,0.408,66.576,7
0.651,0.866,0.0584,0.00933,0.0,0.113,0.801,113.945,7
0.568,0.423,0.025,0.67,0.00304,0.268,0.399,79.03,7
0.516,0.804,0.0478,0.0103,0.0115,0.0981,0.263,134.998,7
0.52,0.046,0.0401,0.922,0.000603,0.357,0.0777,103.501,7
0.615,0.55,0.0302,0.165,0.00642,0.14,0.65,109.957,7
0.629,0.557,0.0325,0.224,0.000116,0.0745,0.324,136.705,7
0.771,0.524,0.0403,0.372,0.0,0.0324,0.96,130.414,7
0.721,0.394,0.0345,0.583,0.000533,0.105,0.428,140.879,7
0.478,0.886,0.0582,0.0275,0.00558,0.0637,0.463,166.38,7
0.537,0.702,0.0423,0.125,0.00262,0.0611,0.56,144.214,7
0.689,0.678,0.0325,0.135,2.16e-05,0.157,0.699,120.011,7
0.342,0.976,0.0573,0.00443,0.0175,0.0974,0.733,166.663,7
0.516,0.342,0.0342,0.832,0.579,0.0857,0.167,128.378,7
0.67,0.478,0.0355,0.531,0.428,0.138,0.0997,88.014,7
0.523,0.656,0.0262,0.511,0.16,0.0679,0.214,104.271,7
0.708,0.499,0.0297,0.269,0.57,0.101,0.628,111.652,7
0.596,0.383,0.0324,0.694,0.808,0.0889,0.0506,77.423,7
0.377,0.981,0.0866,0.00868,5.01e-05,0.881,0.69,152.886,7
0.247,0.979,0.101,0.0271,0.693,0.985,0.597,162.637,7
0.364,0.963,0.0524,0.0326,0.0136,0.964,0.682,117.981,7
0.224,0.981,0.098,0.0176,0.0326,0.983,0.697,159.136,7
0.584,0.901,0.0371,0.0303,0.156,0.907,0.669,108.123,7
0.47,0.949,0.045,0.00252,0.475,0.93,0.829,117.158,7
0.294,0.962,0.0808,0.000194,0.221,0.95,0.601,118.193,7
0.227,0.991,0.254,0.00517,0.16,0.99,0.167,167.919,7
0.223,0.745,0.0361,0.0253,0.133,0.87,0.496,168.968,7
0.384,0.98,0.0897,0.00769,0.0751,0.853,0.555,119.366,7
0.122,0.989,0.106,2.41e-05,0.673,0.942,0.289,159.883,7
0.242,0.826,0.185,0.241,5.92e-05,0.559,0.171,158.989,7
0.373,0.893,0.0495,0.158,3.36e-06,0.2,0.574,124.622,7
0.295,0.921,0.119,0.244,1.95e-06,0.172,0.643,168.686,7
